Transcription	Gloss	Translation	Orthography	Notes	ID	RecordingQaulity	Date	Location	Speaker	Filename
dukʰ jeɻkʰ-um e-kʰ	you.PL sing-IMPF.CVB is-2PL	you.PL sing	դուք երգում էք		NK_03_09_21_027	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_027_dukʰ jeɻkʰ-um e-kʰ
dukʰ kɒɻtʰ-ɒ-t͡sʰ-i-kʰ	you.PL read-TH-AOR-PST-2PL	you.SG read.PST	դուք խօսացիք		NK_03_09_21_028	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_028_dukʰ kɒɻtʰ-ɒ-t͡sʰ-i-kʰ
dukʰ kə-jeɻkʰ-e-kʰ	you.PL COND-sing-TH-2PL	you.PL shall sing	դուք կը երգէք		NK_03_09_21_029	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_029_dukʰ kə-jeɻkʰ-e-kʰ
dukʰ mɒkʰuɻ e-kʰ	you.PL clean is-2PL	You.PL clean are	Դուք մաքուր էք		NK_12_16_21_020	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_020_dukʰ mɒkʰuɻ e-kʰ
dukʰ χos-ɒ-t͡sʰ-i-kʰ	you.PL speak-TH-AOR-PST-2PL	you.PL spoke	դուք խօսացիք		NK_03_09_21_030	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_030_dukʰ χos-ɒ-t͡sʰ-i-kʰ
dur	door	door	դուռ		NK_03_23_21_026	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_026_dur
dur	door	door	դուռ	corrected herself online to d	NK_03_23_21_027	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_027_dur
dur	door	door	դուռ	corrected herself online to d	NK_03_23_21_028	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_028_dur
dur	door	door	դուռ	corrected herself online to d	NK_03_23_21_029	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_029_dur
d͡zɒjn	voice	voice	ձայն		NK_10_26_21_036	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_036_d͡zɒjn
d͡zɒkʰ	offspring	offspring	ձակ		NK_03_23_21_030	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_030_d͡zɒkʰ
d͡zɒkʰ	offspring	offspring	ձագ		NK_10_26_21_037	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_037_d͡zɒkʰ
d͡zɒkʰ	offspring	offspring	ձագ		NK_10_26_21_038	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_038_d͡zɒkʰ
d͡zerɒɡiɻ	handwriting	handwriting	ձեռագիր		NK_02_15_22_005	Audacity	April 15 2022	NK_02_15_22	NK	NK_02_15_22_005_d͡zerɒɡiɻ
d͡zerkʰ t-ɒ-l	hand give-TH-INF	to touch (give hand)?	ձեռք տալ		NK_05_01_21_034	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_034_d͡zerkʰ t-ɒ-l
d͡zeɻ senjɒk-ə	you.PL.GEN room-DEF	your.PL room	ձեր սենեակը		NK_12_16_21_021	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_021_d͡zeɻ senjɒk-ə
d͡zez het	you.PL.GEN with	with you.PL	ձեզ հետ		NK_12_16_21_022	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_022_d͡zez het
d͡zez-n-it͡sʰ	you.PL-NX-ABL	from you.PL	ձեզնից		NK_12_16_21_023	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_023_d͡zez-n-it͡sʰ
d͡zun	snow	snow	ձուն		NK_03_23_21_031	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_031_d͡zun
d͡zun	snow	snow	ձուն		NK_03_23_21_032	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_032_d͡zun
d͡zun	snow	snow	ձուն		NK_03_23_21_033	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_033_d͡zun
d͡ʒɒn-ə d͡zez ɡiɻkʰ təv-ɒ-v	John-DEF you.PL.DAT book give-PST-3SG	John gave a book to you.PL	Ջոնը ձեզ գիրք տուաւ		NK_12_16_21_024	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_024_d͡ʒɒn-ə d͡zez ɡiɻkʰ təv-ɒ-v
d͡ʒɒn-ə d͡zez mɒkʰɻ-ɒ-v	John-DEF you.PL.DAT clean-PST-3SG	John cleaned you.PL	Ջոնը ձեզ մաքրաւ		NK_12_16_21_025	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_025_d͡ʒɒn-ə d͡zez mɒkʰɻ-ɒ-v
d͡ʒɒn-ə ind͡z ɡiɻkʰ təv-ɒ-v	John-DEF I.DAT book give-PST-3SG	John gave a book to me	Ջոնը ինձ գիրք տուաւ		NK_12_16_21_026	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_026_d͡ʒɒn-ə ind͡z ɡiɻkʰ təv-ɒ-v
d͡ʒɒn-ə ind͡z mɒkʰɻ-ɒ-v	John-DEF I.DAT clean-PST-3SG	John cleaned me	Ջոնը ինձ մաքրաւ		NK_12_16_21_027	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_027_d͡ʒɒn-ə ind͡z mɒkʰɻ-ɒ-v
d͡ʒɒn-ə iɻɒn ɡiɻkʰ təv-ɒ-v	John-DEF he.DAT book give-PST-3SG	John gave a book to him	Ջոնը իրան գիրք տուաւ		NK_12_16_21_028	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_028_d͡ʒɒn-ə iɻɒn ɡiɻkʰ təv-ɒ-v
d͡ʒɒn-ə iɻɒn mɒkʰɻ-ɒ-v	John-DEF he.DAT clean-PST-3SG	John clean him	Ջոնը իրան մաքրաւ		NK_12_16_21_029	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_029_d͡ʒɒn-ə iɻɒn mɒkʰɻ-ɒ-v
d͡ʒɒn-ə iɻɒnt͡sʰ ɡiɻkʰ təv-ɒ-v	John-DEF they.DAT book give-PST-3SG	John gave a book to them	Ջոնը իրանց գիրք տուաւ		NK_12_16_21_030	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_030_d͡ʒɒn-ə iɻɒnt͡sʰ ɡiɻkʰ təv-ɒ-v
d͡ʒɒn-ə iɻɒnt͡sʰ mɒkʰɻ-ɒ-v	John-DEF they.DAT clean-PST-3SG	John cleaned them	Ջոնը իրանց մաքրաւ		NK_12_16_21_031	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_031_d͡ʒɒn-ə iɻɒnt͡sʰ mɒkʰɻ-ɒ-v
d͡ʒɒn-ə kʰez ɡiɻkʰ təv-ɒ-v	John-DEF you.SG.DAT book give-PST-3SG	John gave a book to you.SG	Ջոնը քեզ գիրք տուաւ		NK_12_16_21_032	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_032_d͡ʒɒn-ə kʰez ɡiɻkʰ təv-ɒ-v
d͡ʒɒn-ə kʰez mɒkʰɻ-ɒ-v	John-DEF you.SG.DAT clean-PST-3SG	John clean you.SG	Ջոնը քեզ մաքրաւ		NK_12_16_21_033	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_033_d͡ʒɒn-ə kʰez mɒkʰɻ-ɒ-v
d͡ʒɒn-ə mɒkʰɻ-ɒ-v ind͡z	John-DEF clean-PST-3SG I.DAT	John cleaned me	Ջոնը մաքրաւ ինձ		NK_12_16_21_034	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_034_d͡ʒɒn-ə mɒkʰɻ-ɒ-v ind͡z
d͡ʒɒn-ə mez mɒkʰɻ-ɒ-v	John-DEF we.DAT clean-PST-3SG	John clean us	Ջոնը մեզ մաքրաւ		NK_12_16_21_035	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_035_d͡ʒɒn-ə mez mɒkʰɻ-ɒ-v
d͡ʒɒn-ə nəɻɒnt͡sʰ ɡiɻkʰ təv-ɒ-v	John-DEF they.DAT book give-PST-3SG	John gave a book to them	Ջոնը նրանց գիրք տուաւ		NK_12_16_21_036	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_036_d͡ʒɒn-ə nəɻɒnt͡sʰ ɡiɻkʰ təv-ɒ-v
d͡ʒəd͡ʒik	eraser	eraser	ջջիք		NK_03_23_21_034	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_034_d͡ʒəd͡ʒik
d͡ʒon-i-n e-m t-ɒ-l-i ɡiɻkʰ-ə	John-DAT-DEF is-1SG give-TH-INF-IMPF.CVB book-DEF	to John I am giving the book	Ջոնին եմ տալի գիրքը	halted	NK_04_13_21_005	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_005_d͡ʒon-i-n e-m t-ɒ-l-i ɡiɻkʰ-ə
d͡ʒon-i-n t͡ʃʰ-e-m t-ɒ-l-i ɒtoɻ-ə	John-DAT-DEF NEG-is-1SG give-TH-INF-IMPF.CVB chair-DEF	to John I am not giving the chair	Ջոնին չեմ տալի աթոռը	tried to do two sentences at once to check for s	NK_04_13_21_007	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_007_d͡ʒon-i-n t͡ʃʰ-e-m t-ɒ-l-i ɒtoɻ-ə
d͡ʒon-i-n t͡ʃʰ-e-m t-ɒ-l-i es ɡiɻkʰ-ə	John-DAT-DEF NEG-is-1SG give-TH-INF-IMPF.CVB this book-DEF	to John I am not giving this book	Ջոնին չեմ տալի էս գիրքը		NK_04_13_21_006	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_006_d͡ʒon-i-n t͡ʃʰ-e-m t-ɒ-l-i es ɡiɻkʰ-ə
d͡ʒuɻ	water	water	ջուր		NK_03_23_21_035	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_035_d͡ʒuɻ
d͡ʒuɻ	water	water	ջուր		NK_05_01_21_035	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_035_d͡ʒuɻ
d͡ʒuɻ	water	water	ջուր		NK_05_01_21_036	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_036_d͡ʒuɻ
d͡ʒutʰɒk	violin	violin	ջութակ		NK_10_26_21_039	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_039_d͡ʒutʰɒk
d͡ʒutʰɒk	violin	violin	ջութակ		NK_10_26_21_040	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_040_d͡ʒutʰɒk
d͡ʒutʰɒk	violin	violin	ջութակ		NK_10_26_21_041	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_041_d͡ʒutʰɒk
e-kʰ	is-2PL	are (2PL)	էք		NK_05_01_21_037	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_037_e-kʰ
e-ŋkʰ	is-1PL	are (1PL)	ենք		NK_05_01_21_038	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_038_e-ŋkʰ
ek-ɒ-m	come-PST-1SG	I came	էկամ		NK_04_13_21_008	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_008_ek-ɒ-m
ek-ɒ-m	come-PST-1SG	I came	էկամ		NK_04_13_21_009	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_009_ek-ɒ-m
ek-ɒ-m	come-PST-1SG	I came	էկամ	emphatic halted	NK_04_13_21_010	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_010_ek-ɒ-m
ek-ɒ-t͡sʰ-oʁ	come-TH-AOR-SPTCP	comer (participle)	էկացող		NK_04_13_21_013	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_013_ek-ɒ-t͡sʰ-oʁ
ek-ɒ-t͡sʰ-oʁ	come-TH-AOR-SPTCP	comer (participle)	էկացող	sentence intonation	NK_04_13_21_014	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_014_ek-ɒ-t͡sʰ-oʁ
ek-ɒ-t͡sʰ-oʁ t͡ʃʰ-i	come-TH-AOR-SPTCP NEG-is	he's not a comer	էկացող չի		NK_04_13_21_011	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_011_ek-ɒ-t͡sʰ-oʁ t͡ʃʰ-i
ek-ɒ-t͡sʰ-oʁ t͡ʃʰ-i	come-TH-AOR-SPTCP NEG-is	he's not the type of person to come	էկացող չի		NK_04_13_21_012	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_012_ek-ɒ-t͡sʰ-oʁ t͡ʃʰ-i
ek-ɒt͡sʰ	come-RPTCP	came (participle)	էկած	accidental question intonation	NK_04_13_21_015	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_015_ek-ɒt͡sʰ
ek-oʁ	come-SPTCP	comer (participle)	էկող		NK_04_13_21_016	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_016_ek-oʁ
el-n-e-l	be-VX-TH-INF 	to be 	էլնել		NK_03_23_21_036	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_036_el-n-e-l
el-n-e-l	be-VX-TH-INF	to be	էլնել		NK_05_01_21_039	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_039_el-n-e-l
en ɡiɻkʰ-ə	that book-DEF	that book	էն գիրքը		NK_12_16_21_037	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_037_en ɡiɻkʰ-ə
eni ɡiɻkʰ ɒ	that book is	That is a book	Էնի գիրք ա		NK_12_16_21_038	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_038_eni ɡiɻkʰ ɒ
enik-ə	that-DEF	that one	էնիկը		NK_12_16_21_039	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_039_enik-ə
epʰ-e-l	cook-TH-INF	to cook	էփել		NK_10_26_21_042	Zoom	October 26 2021	NK_10_26_21	NK	NK_10_26_21_042_epʰ-e-l
eɻeɡ ek-ɒ-m	yesterday come-PST-1SG	I came yesterday	էրեկ էկամ		NK_03_23_21_037	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_037_eɻeɡ ek-ɒ-m
eɻeɡ es ɡiɻkʰ-ə kɒɻtʰ-ɒ-t͡sʰ-i-m	yesterday this book-DEF read-TH-AOR-PST-1SG	I read this book yesterday	էրեկ էս գիրքը կարդացիմ	choppy	NK_03_09_21_031	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_031_eɻeɡ es ɡiɻkʰ-ə kɒɻtʰ-ɒ-t͡sʰ-i-m
eɻku	two	two	երկու		NK_05_01_21_040	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_040_eɻku
eɻku	two	two	երկու		NK_05_01_21_041	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_041_eɻku
eɻtʰ-ɒ-ŋkʰ	go-TH-1PL	let us go	էրթանք		NK_05_01_21_042	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_042_eɻtʰ-ɒ-ŋkʰ
eɻtʰ-ɒ-ŋkʰ	go-TH-1PL	let's go	էրթանք		NK_05_01_21_043	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_043_eɻtʰ-ɒ-ŋkʰ
es e-m uz-um	this is-1SG want-IMPF.CVB	I want this	էս եմ ուզոմ		NK_12_16_21_040	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_040_es e-m uz-um
es ɡiɻkʰ-ə	this book-DEF	this book	էս գիրքը		NK_03_23_21_039	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_039_es ɡiɻkʰ-ə
es ɡiɻkʰ-ə	this book-DEF	this book	էս գիրքը		NK_12_16_21_041	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_041_es ɡiɻkʰ-ə
es ɡiɻkʰ-ə	this book-DEF	this book	էս գիրքը		NK_12_16_21_042	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_042_es ɡiɻkʰ-ə
es ɡiɻkʰ-ə eɻeɡ kɒɻtʰ-ɒ-t͡sʰ-i-m	this book-DEF yesterday read-TH-AOR-PST-1SG	I read this book yesterday	էս գիրքը էրէկ կարդացիմ	choppy	NK_03_09_21_032	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_032_es ɡiɻkʰ-ə eɻeɡ kɒɻtʰ-ɒ-t͡sʰ-i-m
es ɡiɻkʰ-ə siɻ-um ∅-i-m	this book-DEF like-IMPF.CVB is-PST-1SG	I loved this book	էս գիրքը սիրում իմ		NK_03_09_21_033	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_033_es ɡiɻkʰ-ə siɻ-um ∅-i-m
es ɡiɻkʰ-ə təv-eɻ e-m d͡ʒon-i-n	this book-DEF give-PERF.CVB is-1SG John-DAT-DEF	I have given this book to John	էս գիրքը տուեր եմ Ջոնին	choppy	NK_03_09_21_034	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_034_es ɡiɻkʰ-ə təv-eɻ e-m d͡ʒon-i-n
es ɡiɻkʰ-ə təv-eɻ e-m d͡ʒon-i-n	this book-DEF give-PERF.CVB is-1SG John-DAT-DEF	I have given this book to John	էս գիրքը տուեր եմ Ջոնին		NK_03_09_21_035	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_035_es ɡiɻkʰ-ə təv-eɻ e-m d͡ʒon-i-n
es ɡiɻkʰ-ə təv-eɻ e-m d͡ʒon-i-n	this book-DEF give-PERF.CVB is-1SG John-DAT-DEF	I have given this book to John	էս գիրքը տուեր եմ Ջոնին		NK_03_09_21_036	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_036_es ɡiɻkʰ-ə təv-eɻ e-m d͡ʒon-i-n
es ɡiɻkʰ-ə um-i-n e-s təv-e	this book-DEF who-DAT-DEF is-2SG give-PERF.CVB	who did you.SG give this book to?	էս գիրքը ումին ես տուե		NK_03_23_21_038	Zoom	March 23 2021	NK_03_23_21	NK	NK_03_23_21_038_es ɡiɻkʰ-ə um-i-n e-s təv-e
es ɡiɻkʰ-ə um-i-n e-s təv-e jes d͡ʒon-i-n e-m təv-e	this book-DEF who-DAT-DEF is-2SG give-PERF.CVB I John-DAT-DEF is-1SG give-PERF.CVB	who did you give this book to? I gave it to JOHN	Էս գիրքը ումի՞ն ես տուե։ Ես Ջոնին եմ տուե։		NK_03_09_21_037	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_037_es ɡiɻkʰ-ə um-i-n e-s təv-e jes d͡ʒon-i-n e-m təv-e
es ɡiɻkʰ-ə um-i-n e-s təv-eh	this book-DEF who-DAT-DEF is-2SG give-PERF.CVB	who did you give this book to	էս գիրքը ումին ես տուե		NK_03_09_21_038	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_038_es ɡiɻkʰ-ə um-i-n e-s təv-eh
es jeɻkʰ-ə voɻ mɒm-it͡sʰ sovoɻ-el e-m	this song-DEF that mom-ABL learn-PERF.CVB is-1SG	this song that I have learned from my mom	էս երգը որ մամից սովորել եմ		NK_03_09_21_039	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_039_es jeɻkʰ-ə voɻ mɒm-it͡sʰ sovoɻ-el e-m
es jeɻkʰ-ə voɻ mɒm-it͡sʰ sovoɻ-eɻ e-m	this song-DEF that mom-ABL learn-PERF.CVB is-1SG	this song that I learned from my mom	էս երգը որ մամից սովորեր եմ		NK_03_09_21_040	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_040_es jeɻkʰ-ə voɻ mɒm-it͡sʰ sovoɻ-eɻ e-m
es jeɻkʰ-ən e-m jeɻkʰ-e	this song-DEF is-1SG sing-PERF.CVB	this song I have sung	էս երգն եմ երգե		NK_03_09_21_042	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_042_es jeɻkʰ-ən e-m jeɻkʰ-e
es jeɻkʰ-ən e-m jeɻkʰ-e voɻ mɒm-it͡sʰ sovoɻ-el e-m	this song-DEF is-1SG sing-PERF.CVB that mom-ABL learn-PERF.CVB is-1SG	I have sung the song that I learned from my mom	էս երգն եմ երգե որ մամից սովորել եմ		NK_03_09_21_041	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_041_es jeɻkʰ-ən e-m jeɻkʰ-e voɻ mɒm-it͡sʰ sovoɻ-el e-m
es jeɻkʰ-ən e-m jeɻkʰ-eh	this song-DEF is-1SG sing-PERF.CVB	I have read this BOOK	էս երգն եմ երգե		NK_03_09_21_043	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_043_es jeɻkʰ-ən e-m jeɻkʰ-eh
es lezu-n d͡ʒon-i het kə-χos-ɒ-m	this language-DEF John-GEN with CODN-speak-TH-1SG	I shall speak this langauge with John	էս լեզուն Ջոնի հետ կը խօսամ		NK_03_09_21_044	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_044_es lezu-n d͡ʒon-i het kə-χos-ɒ-m
es lezu-n d͡ʒon-i het kə-χos-ɒ-m	this language-DEF John-GEN with CODN-speak-TH-1SG	I shall speak this langauge with John	էս լեզուն Ջոնի  հետ կը խօսամ		NK_03_09_21_045	Zoom	March 9 2021	NK_03_09_21	NK	NK_03_09_21_045_es lezu-n d͡ʒon-i het kə-χos-ɒ-m
esi ɡiɻkʰ ɒ	this book is	this is a book	էսի գիրք ա		NK_02_15_22_006	Audacity	April 15 2022	NK_02_15_22	NK	NK_02_15_22_006_esi ɡiɻkʰ ɒ
esi ɡiɻkʰ ɒ	this book is	This is a book	Էսի գիրք ա		NK_12_16_21_043	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_043_esi ɡiɻkʰ ɒ
esi uz-um e-m	this want-IMPF.CVB is-1SG	I want this	Էսի ուզում եմ		NK_12_16_21_044	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_044_esi uz-um e-m
esik-ə ɡiɻkʰ ɒ	this-DEF book is	this is a book	էսիկը գիրք ա		NK_02_15_22_007	Audacity	April 15 2022	NK_02_15_22	NK	NK_02_15_22_007_esik-ə ɡiɻkʰ ɒ
esik-ə təv-ɒ-m	this-DEF give-PST-1SG	I gave this one	էսիկը տուամ		NK_02_15_22_008	Audacity	April 15 2022	NK_02_15_22	NK	NK_02_15_22_008_esik-ə təv-ɒ-m
esik-ən e-m uz-um	this-DEF is-1SG want-IMPF.CVB	I want this	էսիկն եմ ուզում		NK_12_16_21_045	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_045_esik-ən e-m uz-um
esik-ən e-m uz-um	this-DEF is-1SG want-IMPF.CVB	I want this	էսիկն եմ ուզում		NK_12_16_21_046	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_046_esik-ən e-m uz-um
esik-ən e-m uz-um	this-DEF is-1SG want-IMPF.CVB	I want this	էսիկն եմ ուզում		NK_12_16_21_047	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_047_esik-ən e-m uz-um
esoɻ e-m t-ɒ-l-i jev t͡sɒχ-um	today is-1SG give-TH-INF-IMPF.CVB and sell-IMPF.CVB	TODAY I am giving and selling	էսօր եմ տալի եւ ծախում		NK_04_13_21_017	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_017_esoɻ e-m t-ɒ-l-i jev t͡sɒχ-um
esoɻ t-ɒ-l-is e-m u t͡sɒχ-um e-m	today give-TH-INF-IMPF.CVB is-1SG and sell-IMPF.CVB is-1SG	Today, I am giving and I am selling	էսօր տալիս եմ եւ ծախում		NK_04_13_21_018	Zoom	April 13 2021	NK_04_13_21	NK	NK_04_13_21_018_esoɻ t-ɒ-l-is e-m u t͡sɒχ-um e-m
et ɡiɻkʰ-ə	that book-DEF	that book	էդ գիրքը		NK_12_16_21_048	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_048_et ɡiɻkʰ-ə
etʰ-ɒ-l	go-TH-INF	to go	էթալ		NK_05_01_21_044	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_044_etʰ-ɒ-l
etʰ-ɒ-l	go-TH-INF	to go	էթալ		NK_05_01_21_045	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_045_etʰ-ɒ-l
etʰ-ɒ-l	go-TH-INF	to go	էթալ		NK_05_01_21_046	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_046_etʰ-ɒ-l
etʰ-ɒ-l	go-TH-INF	to go	էթալ		NK_05_01_21_047	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_047_etʰ-ɒ-l
etʰ-ɒ-l	go-TH-INF	to go	էթալ		NK_05_01_21_048	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_048_etʰ-ɒ-l
etʰ-ɒ-l	go-TH-INF	to go	էթալ		NK_05_01_21_049	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_049_etʰ-ɒ-l
etʰ-ɒ-l veɻev	go-TH-INF up	to go upstairs	էթալ վերեւ		NK_02_15_22_009	Audacity	April 15 2022	NK_02_15_22	NK	NK_02_15_22_009_etʰ-ɒ-l veɻev
etʰ-ɒ-ŋkʰ	go-TH-1PL	let us go	էթանք		NK_05_01_21_050	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_050_etʰ-ɒ-ŋkʰ
etʰ-um e-m veɻev	go-IMPF.CVB is-1SG up	I am going upstairs	էթում եմ վերեւ		NK_02_15_22_010	Audacity	April 15 2022	NK_02_15_22	NK	NK_02_15_22_010_etʰ-um e-m veɻev
eti	that	that	էտի		NK_05_01_21_051	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_051_eti
eti	that	that	էտի		NK_05_01_21_052	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_052_eti
eti	that	that	էտի		NK_05_01_21_053	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_053_eti
eti ɡiɻkʰ ɒ	that book is	That is a book	Էդի գիրք ա		NK_12_16_21_049	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_049_eti ɡiɻkʰ ɒ
eti ɡiɻkʰ ɒ	that book is	That is a book	Էդի գիրք ա		NK_12_16_21_050	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_050_eti ɡiɻkʰ ɒ
etik-ə	that-DEF	that	էտիկը		NK_05_01_21_054	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_054_etik-ə
etik-ə	that-DEF	that	էտիկը		NK_05_01_21_055	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_055_etik-ə
etik-ə ɡiɻkʰ ɒ	that-DEF book is	That is a book	Էդիկը գիրք ա		NK_12_16_21_051	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_051_etik-ə ɡiɻkʰ ɒ
etik-ə ɡiɻkʰ ɒ	that-DEF book is	That is a book	Էդիկը գիրք ա		NK_12_16_21_052	Audacity	Dec 16 2021	NK_12_16_21	NK	NK_12_16_21_052_etik-ə ɡiɻkʰ ɒ
əndeʁ ɒ	there is	he is over there	ընտեղ ա		NK_05_01_21_056	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_056_əndeʁ ɒ
əndeʁ ɒ	there is	he is over there	ընտեղ ա		NK_05_01_21_057	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_057_əndeʁ ɒ
əndeʁ ɒ	there is	he is over there	ընտեղ ա		NK_05_01_21_058	Audacity	May 01 2021	NK_05_01_21	NK	NK_05_01_21_058_əndeʁ ɒ
